DSIR ,description,des,code
1,Chemical and allied industries (Pharmaceuticals),Pharmaceuticals,1
2,Electrical and electronic industries,Electrical & Electronics,2
3,Mechanical engineering industries (includes automotive and other transport equipment),Mechanical Engineering(includes auto),3
4,"Processing industries (metallurgical, refractories, paper, cement, ceramics, leather, and others)","Paper, Cement, Ceramics, Leather, Metallurgical",4
5,Agricultural and food processing industriesæ,Agricultural & food,5
6,Other,Software,7
7, Software,Energy,8
8,Energy,Other,6
