Company_ID,NEW_CONAME,Year,LabID_new,Lab_Location,Lab_State,StateOwned,ForeignOwned,DSIR_Code,LabLat,LabLong
13,A S L Advanced System,2005,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2006,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2007,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2008,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2009,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
13,A S L Advanced System,2010,16,Bangalore,Karnataka,0,0,2,12.971599,77.594563
14,Aartech Solonics,2003,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
14,Aartech Solonics,2005,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
14,Aartech Solonics,2006,17,Bhopal,Madhya Pradesh,0,0,2,23.259933,77.412615
15,Aarti Drugs,2003,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2005,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2006,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2007,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2008,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2009,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
15,Aarti Drugs,2010,18,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2005,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2006,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2007,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
16,Aarti Healthcare,2008,19,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2003,20,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2003,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2005,20,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
17,Aarti Industries,2005,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2006,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2007,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2008,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2009,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
17,Aarti Industries,2010,21,Vapi,Gujarat,0,0,1,20.3726,72.9073
18,Abacus Saftech,2003,22,Delhi,Delhi,0,0,7,28.635308,77.22496
19,Abbott India,2003,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2005,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2006,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2007,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2008,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2009,23,Verna,Goa,0,1,1,15.347326,73.929586
19,Abbott India,2010,23,Verna,Goa,0,1,1,15.347326,73.929586
20,Abellon Clean Energy Limited,2010,2062,Ahmedabad,Gujarat,0,0,8,23.039568,72.566005
21,Accord Software And Systems,2009,24,Bangalore,Karnataka,0,0,2,12.971599,77.594563
21,Accord Software And Systems,2010,24,Bangalore,Karnataka,0,0,2,12.971599,77.594563
22,Accurate Engineering Company PrivateLimited,2003,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2005,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2006,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2007,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2008,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2009,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2010,25,Pune,Maharashtra,0,0,3,18.52043,73.856744
22,Accurate Engineering Company PrivateLimited,2010,2063,Pune,Maharashtra,0,0,3,18.52043,73.856744
23,Ace Refractories,2007,26,Murwara,Madhya Pradesh,0,0,4,23.836081,80.39547
23,Ace Refractories,2007,27,Nagpur,Maharashtra,0,0,4,21.1458,79.088155
23,Ace Refractories,2008,26,Murwara,Madhya Pradesh,0,0,4,23.836081,80.39547
23,Ace Refractories,2008,27,Nagpur,Maharashtra,0,0,4,21.1458,79.088155
24,Acharya Chemicals,2003,28,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
24,Acharya Chemicals,2005,28,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
24,Acharya Chemicals,2006,28,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
25,Actavis Pharma Manufacturing,2010,2064,Kanchipuram,Tamil Nadu,0,1,1,12.834174,79.70364
26,Actis Biologics,2008,29,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
26,Actis Biologics,2009,29,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
26,Actis Biologics,2010,29,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
27,Acumac Machine Tools,2003,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2005,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2006,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2007,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2008,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2009,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
27,Acumac Machine Tools,2010,30,Bangalore,Karnataka,0,0,3,12.971599,77.594563
28,Aditya Auto,2009,31,Bangalore,Karnataka,0,0,3,12.971599,77.594563
28,Aditya Auto,2010,31,Bangalore,Karnataka,0,0,3,12.971599,77.594563
29,Aditya Birla Nuvo,2003,32,Kolkata,West Bengal,0,0,4,22.572646,88.363895
29,Aditya Birla Nuvo,2003,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2003,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2005,32,Kolkata,West Bengal,0,0,4,22.572646,88.363895
29,Aditya Birla Nuvo,2005,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2005,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2006,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2006,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2007,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2007,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2008,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2008,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2009,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2009,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
29,Aditya Birla Nuvo,2010,33,Gummidipoondi,Tamil Nadu,0,0,4,13.414444,80.126389
29,Aditya Birla Nuvo,2010,34,Veraval,Gujarat,0,0,4,20.912003,70.353376
30,Aditya Engineering Company,2009,35,Pune,Maharashtra,0,0,2,18.52043,73.856744
30,Aditya Engineering Company,2010,35,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2003,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2005,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2006,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2007,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2008,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2009,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
31,Ador Powertron,2010,36,Pune,Maharashtra,0,0,2,18.52043,73.856744
32,Ador Technopak,2003,37,Pune,Maharashtra,0,0,4,18.52043,73.856744
33,Ador Welding,2003,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2003,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2005,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2005,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2006,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2006,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2007,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2007,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2008,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2008,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2009,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2009,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
33,Ador Welding,2010,38,Mumbai,Maharashtra,0,0,3,19.017615,72.856164
33,Ador Welding,2010,39,Pune,Maharashtra,0,0,3,18.52043,73.856744
34,Advanced Enzyme Technologies,2003,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2003,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2005,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2005,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2006,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2006,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2007,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2007,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2008,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2008,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2009,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2009,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
34,Advanced Enzyme Technologies,2010,40,Nashik,Maharashtra,0,0,1,19.997453,73.789802
34,Advanced Enzyme Technologies,2010,41,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
35,Advanced Neuro-Science Allies,2010,2065,Bangalore,Karnataka,0,0,1,12.971599,77.594563
36,Advanta India,2003,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2003,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2003,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2003,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2005,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2005,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2005,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2005,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2006,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2006,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2006,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2006,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2007,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2007,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2007,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2007,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2008,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2008,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2008,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2008,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2009,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2009,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2009,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2009,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
36,Advanta India,2010,42,Aurangabad,Maharashtra,0,0,5,19.883,75.333
36,Advanta India,2010,43,Bangalore,Karnataka,0,0,5,12.971599,77.594563
36,Advanta India,2010,44,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
36,Advanta India,2010,45,Kurnool,Andhra Pradesh,0,0,5,15.815569,78.035445
37,Advik Hi-Tech,2008,46,Pune,Maharashtra,0,0,3,18.52043,73.856744
37,Advik Hi-Tech,2009,46,Pune,Maharashtra,0,0,3,18.52043,73.856744
37,Advik Hi-Tech,2010,46,Pune,Maharashtra,0,0,3,18.52043,73.856744
38,AgSun Seeds,2008,47,Bellary,Karnataka,0,0,5,15.13854,76.918732
38,AgSun Seeds,2009,47,Bellary,Karnataka,0,0,5,15.13854,76.918732
38,AgSun Seeds,2010,47,Bellary,Karnataka,0,0,5,15.13854,76.918732
39,Ahuja Radios,2003,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2005,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2006,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2007,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2008,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2009,48,Delhi,Delhi,0,0,2,28.635308,77.22496
39,Ahuja Radios,2010,48,Delhi,Delhi,0,0,2,28.635308,77.22496
40,Aishwarya Seeds,2009,49,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
40,Aishwarya Seeds,2010,49,Hyderabad,Andhra Pradesh,0,0,5,17.385044,78.486671
41,Aishwarya Telecom,2003,50,Hyderabad,Andhra Pradesh,0,0,2,17.385044,78.486671
42,Aizant Drug Research Solutions,2010,2066,Hyderabad,Andhra Pradesh,0,0,1,17.385044,78.486671
43,Ajanta Pharma,2003,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2005,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2006,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2007,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2008,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2009,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
43,Ajanta Pharma,2010,51,Mumbai,Maharashtra,0,0,1,19.017615,72.856164
44,Ajay Bio-Tech,2003,52,Pune,Maharashtra,0,0,1,18.52043,73.856744
44,Ajay Bio-Tech,2010,52,Pune,Maharashtra,0,0,1,18.52043,73.856744
45,Ajeet Seeds,2003,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2005,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2006,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2007,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2008,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2009,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
45,Ajeet Seeds,2010,53,Aurangabad,Maharashtra,0,0,5,19.883,75.333
46,Akay Flavours And Aromatics,2008,54,Cochin,Kerala,0,1,1,9.939248,76.259625
46,Akay Flavours And Aromatics,2009,54,Cochin,Kerala,0,1,1,9.939248,76.259625
46,Akay Flavours And Aromatics,2010,54,Cochin,Kerala,0,1,1,9.939248,76.259625
47,Akola Chemicals,2003,55,Akola,Maharashtra,0,0,1,20.70388,74.883
47,Akola Chemicals,2005,55,Akola,Maharashtra,0,0,1,20.70388,74.883
47,Akola Chemicals,2006,55,Akola,Maharashtra,0,0,1,20.70388,74.883
48,Akshay Seed Tech Company,2009,56,Junagadh,Gujarat,0,0,5,21.5202,70.4594
48,Akshay Seed Tech Company,2010,56,Junagadh,Gujarat,0,0,5,21.5202,70.4594
49,Alchem International,2003,57,Delhi,Delhi,0,0,1,28.635308,77.22496
